player_name,player_key,ppn,player_full_name,matched_by,fuzzy_score,is_correct
Alessio Vasquez,38134.0,G. A. Vasquez,Alessio Vasquez,sorted_name,,ok
Alex Barrena,1324.0,A. Barrena,Alex Barrena,sorted_name,,ok
Alex Bolt,3319.0,A. Bolt,Alex Bolt,sorted_name,,ok
Alex De Gabriele,56988.0,A. Degabriele,Alex De Gabriele,sorted_name,,ok
Alex de Minaur,1106.0,A. De Minaur,Alex De Minaur,sorted_name,,ok
Alex Finkelstein,60823.0,A. Finkelstein,Alex Finkelstein,sorted_name,,ok
Alex Hernandez,1307.0,A. Hernandez,Alex Hernandez,sorted_name,,ok
Alex Jones,38934.0,A. Jones,Alex Jones,sorted_name,,ok
Alex Knaff,5969.0,A. Knaff,Alex Knaff,sorted_name,,ok
Alex Kobelt,11761.0,A. Kobelt,Alex Kobelt,sorted_name,,ok
Alex Kuperstein,38300.0,A. Kuperstein,Alex Kuperstein,sorted_name,,ok
Alex Marti Pujolras,988.0,A. Marti Pujolras,Alex Marti Pujolras,sorted_name,,ok
Alex Martinez,7101.0,A. Martinez,Alex Martinez,sorted_name,,ok
Alex Michelsen,10884.0,A. Michelsen,Alex Michelsen,sorted_name,,ok
Alex Molcan,436.0,A. Molcan,Alex Molcan,sorted_name,,ok
Alex Santino Nuñez Vera,74738.0,A. S. Nunez V.,Santino Nunez Vera Alex,sorted_name,,ok
Alex Rybakov,559.0,A. Rybakov,Alex Rybakov,sorted_name,,ok
Alexander Bernard,1250.0,A. Bernard,Alexander Bernard,sorted_name,,ok
Alexander Blockx,39913.0,A. Blockx,Alexander Blockx,sorted_name,,ok
Alexander Bravo,53435.0,A. Bravo,Alexander Bravo,sorted_name,,ok
Alexander Bublik,1895.0,A. Bublik,Alexander Bublik,sorted_name,,ok
Alexander Chepik,14525.0,A. Chepik,Alexander Chepik,sorted_name,,ok
Alexander Donski,9159.0,A. Donski,Alexander Donski,sorted_name,,ok
Alexander Frusina,22430.0,A. Frusina,Alexander Frusina,sorted_name,,ok
Alexander Glomb,80524.0,A. Glomb,Alexander Glomb,sorted_name,,ok
Alexander Gschiel,96563.0,A. Gschiel,Alexander Gschiel,sorted_name,,ok
Johan Alexander Rodriguez,9221.0,J. A. Rodriguez,Alexander Rodriguez Johan,sorted_name,,ok
Alexander Klintcharov,12680.0,A. Klintcharov,Alexander Klintcharov,sorted_name,,ok
Alexander Kotzen,17373.0,A. Kotzen,Alexander Kotzen,sorted_name,,ok
Alexander Krylov,80522.0,A. Krylov,Alexander Krylov,sorted_name,,ok
Alexander Maggs,59629.0,A. Maggs,Alexander Maggs,sorted_name,,ok
Alexander Orlov,39074.0,A. Orlov,Alexander Orlov,sorted_name,,ok
Alexander Petrov,37928.0,A. Petrov,Alexander Petrov,sorted_name,,ok
Alexander Razeghi,9516.0,A. Razeghi,Alexander Razeghi,sorted_name,,ok
Alexander Ritschard,408.0,A. Ritschard,Alexander Ritschard,sorted_name,,ok
Alexander Shevchenko,566.0,A. Shevchenko,Alexander Shevchenko,sorted_name,,ok
Alexander Stater,53310.0,A. Stater,Alexander Stater,sorted_name,,ok
Alexander Ushakov,81642.0,A. Ushakov,Alexander Ushakov,sorted_name,,ok
Alexander Vasilev,52072.0,A. Vasilev,Alexander Vasilev,sorted_name,,ok
Alexander Vikhlyantsev,19888.0,A. Vikhlyantsev,Alexander Vikhlyantsev,sorted_name,,ok
Alexander Wagner,6317.0,A. Wagner,Alexander Wagner,sorted_name,,ok
Alexander Weis,2023.0,A. Weis,Alexander Weis,sorted_name,,ok
Alexander Zgirovsky,14516.0,A. Zgirovsky,Alexander Zgirovsky,sorted_name,,ok
Alexander Zverev,1980.0,A. Zverev,Alexander Zverev,sorted_name,,ok
Alexandre Aubriot,14024.0,A. Aubriot,Alexandre Aubriot,sorted_name,,ok
Alexandre Muller,374.0,A. Muller,Alexandre Muller,sorted_name,,ok
Alexandre Reco,12894.0,A. Reco,Alexandre Reco,sorted_name,,ok
Yannick Theodor Alexandrescou,68659.0,Y. T. Alexandrescou,Theodor Alexandrescou Yannick,sorted_name,,ok
Alexandru Toubi Hebhang Balan,69110.0,A. T. Hebhang B.,Toubi Hebhang Balan Alexandru,sorted_name,,ok
Ioan Alexandru Chirita,40131.0,A. C. Ioan,Alexandru Chirita Ioan,sorted_name,,ok
Dario Alexandru Ciobotaru,78739.0,D. A. Ciobotaru,Alexandru Ciobotaru Dario,sorted_name,,ok
Mihai Alexandru Coman,37891.0,M. A. Coman,Alexandru Coman Mihai,sorted_name,,ok
Dan Alexandru Tomescu,10543.0,D. A. Tomescu,Alexandru Tomescu Dan,sorted_name,,ok
Alexei Popyrin,1926.0,Al. Popyrin,Alexei Popyrin,sorted_name,,ok
Alexey Vatutin,1878.0,A. Vatutin,Alexey Vatutin,sorted_name,,ok
Alexey Zakharov,9948.0,A. Zakharov,Alexey Zakharov,sorted_name,,ok
Alexis Berquier,63295.0,A. Berquier,Alexis Berquier,sorted_name,,ok
Alexis Canter,1236.0,A. Canter,Alexis Canter,sorted_name,,ok
Alexis Galarneau,557.0,A. Galarneau,Alexis Galarneau,sorted_name,,ok
Alexis Gautier,6628.0,A. Gautier,Alexis Gautier,sorted_name,,ok
