place,player,player_key,league,movement,country,points,download_time
452,Mariia Tkacheva,13204.0,WTA,up,World,126,2026-02-14 02:29:48
453,Jasmijn Gimbrere,13078.0,WTA,up,Netherlands,126,2026-02-14 02:29:48
454,Sara Sorribes Tormo,2910.0,WTA,down,Spain,125,2026-02-14 02:29:48
455,Lucija Ciric Bagaric,2575.0,WTA,up,Croatia,125,2026-02-14 02:29:48
456,Julia Adams,15344.0,WTA,up,USA,125,2026-02-14 02:29:48
457,Angella Okutoyi,10913.0,WTA,up,Kenya,124,2026-02-14 02:29:48
458,Natsumi Kawaguchi,13546.0,WTA,down,Japan,124,2026-02-14 02:29:48
459,Akua Stoiber Ranah,9387.0,WTA,up,United Kingdom,123,2026-02-14 02:29:48
460,Elizabeth Reasco Gonzalez Mell,11487.0,WTA,up,Ecuador,123,2026-02-14 02:29:48
461,Fernanda Labrana,2121.0,WTA,up,Chile,123,2026-02-14 02:29:48
462,Sophie Steur Joelle Lilly,15649.0,WTA,up,Germany,122,2026-02-14 02:29:48
463,Federica Urgesi,10912.0,WTA,up,Italy,121,2026-02-14 02:29:48
464,Emily Seibold,13503.0,WTA,up,Germany,121,2026-02-14 02:29:48
465,Meiqi Guo,9108.0,WTA,up,China,120,2026-02-14 02:29:48
466,Nahia Berecoechea,9266.0,WTA,down,France,120,2026-02-14 02:29:48
467,Radka Zelnickova,1363.0,WTA,up,Slovakia,120,2026-02-14 02:29:48
468,Lisa Zaar,12814.0,WTA,up,Sweden,120,2026-02-14 02:29:48
469,Valentini Grammatikopoulou,504.0,WTA,up,Greece,120,2026-02-14 02:29:48
470,Mathilde Lollia,14672.0,WTA,up,France,118,2026-02-14 02:29:48
471,Mina Hodzic,147.0,WTA,up,Germany,117,2026-02-14 02:29:48
472,Varvara Panshina,67427.0,WTA,up,World,116,2026-02-14 02:29:48
473,Vaidehi Chaudhari,13982.0,WTA,down,India,115,2026-02-14 02:29:48
474,Amelia Rajecki,39071.0,WTA,down,United Kingdom,114,2026-02-14 02:29:48
475,Carla Markus,39540.0,WTA,up,Argentina,114,2026-02-14 02:29:48
476,Luca Udvardy,38781.0,WTA,up,Hungary,114,2026-02-14 02:29:48
477,Maria Martinez Vaquero,20501.0,WTA,down,Spain,114,2026-02-14 02:29:48
478,Ruth Roura Llaverias,58496.0,WTA,down,Spain,113,2026-02-14 02:29:48
479,Ella McDonald,24733.0,WTA,same,United Kingdom,113,2026-02-14 02:29:48
480,Lian Tran,13212.0,WTA,down,Netherlands,113,2026-02-14 02:29:48
481,Louise Van den Broek Isis,55590.0,WTA,down,Netherlands,113,2026-02-14 02:29:48
482,Dalina Amariei Ilinca,30.0,WTA,down,Romania,113,2026-02-14 02:29:48
483,Fangzhou Liu,1959.0,WTA,down,China,113,2026-02-14 02:29:48
484,Robin Anderson,1798.0,WTA,down,USA,113,2026-02-14 02:29:48
485,Sara Daavettila,13521.0,WTA,up,USA,113,2026-02-14 02:29:48
486,Ayumi Koshiishi,38.0,WTA,same,Japan,112,2026-02-14 02:29:48
487,Mayu Crossley,33954.0,WTA,down,Japan,112,2026-02-14 02:29:48
488,Berfu Cengiz,1241.0,WTA,down,Turkey,111,2026-02-14 02:29:48
489,Tahlia Kokkinis,63057.0,WTA,down,Australia,111,2026-02-14 02:29:48
490,Ema Burgic,9356.0,WTA,down,Bosnia and Herzegovina,111,2026-02-14 02:29:48
491,Sara Dols,36845.0,WTA,down,Spain,111,2026-02-14 02:29:48
492,Ekaterina Khayrutdinova,10901.0,WTA,down,World,110,2026-02-14 02:29:48
