place,player,player_key,league,movement,country,points,download_time
147,Yibing Wu,1849.0,ATP,up,China,427,2026-02-12 02:42:18
148,Jaime Faria,824.0,ATP,up,Portugal,425,2026-02-12 02:42:18
149,Liam Draxl,3696.0,ATP,up,Canada,422,2026-02-12 02:42:18
150,Lukas Klein,1969.0,ATP,up,Slovakia,420,2026-02-12 02:42:18
151,Michael Zheng,9515.0,ATP,up,USA,414,2026-02-12 02:42:18
152,Daniel Merida Aguilar,978.0,ATP,down,Spain,411,2026-02-12 02:42:18
153,Arthur Fery,8174.0,ATP,up,United Kingdom,396,2026-02-12 02:42:18
154,Giulio Zeppieri,376.0,ATP,up,Italy,393,2026-02-12 02:42:18
155,Martin Landaluce,39864.0,ATP,up,Spain,388,2026-02-12 02:42:18
156,Arthur Gea,9210.0,ATP,down,France,387,2026-02-12 02:42:18
157,Yoshihito Nishioka,1972.0,ATP,up,Japan,386,2026-02-12 02:42:18
158,Mark Lajal,731.0,ATP,same,Estonia,378,2026-02-12 02:42:18
159,Francesco Passaro,8442.0,ATP,up,Italy,376,2026-02-12 02:42:18
160,Ugo Blanchet,1903.0,ATP,down,France,375,2026-02-12 02:42:18
161,Matteo Gigante,1187.0,ATP,down,Italy,367,2026-02-12 02:42:18
162,Gael Monfils,2845.0,ATP,down,France,360,2026-02-12 02:42:18
163,Stefano Travaglia,2672.0,ATP,down,Italy,360,2026-02-12 02:42:18
164,Luka Mikrut,938.0,ATP,same,Croatia,359,2026-02-12 02:42:18
165,Henrique Rocha,827.0,ATP,up,Portugal,357,2026-02-12 02:42:18
166,Yosuke Watanuki,1097.0,ATP,same,Japan,356,2026-02-12 02:42:18
167,Hugo Dellien,2980.0,ATP,up,Bolivia,355,2026-02-12 02:42:18
168,Harold Mayot,1189.0,ATP,up,France,355,2026-02-12 02:42:18
169,Guy Den Ouden,1935.0,ATP,up,Netherlands,355,2026-02-12 02:42:18
170,Daniil Glinka,780.0,ATP,up,Estonia,355,2026-02-12 02:42:18
171,Pierre-Hugues Herbert,1748.0,ATP,up,France,351,2026-02-12 02:42:18
172,Jurij Rodionov,416.0,ATP,up,Austria,350,2026-02-12 02:42:18
173,Leandro Riedi,1092.0,ATP,up,Switzerland,348,2026-02-12 02:42:18
174,Rei Sakamoto,37897.0,ATP,down,Japan,344,2026-02-12 02:42:18
175,Roberto Carballes Baena,593.0,ATP,same,Spain,343,2026-02-12 02:42:18
176,Zsombor Piros,367.0,ATP,same,Hungary,341,2026-02-12 02:42:18
177,Nicolas Mejia,7641.0,ATP,same,Colombia,341,2026-02-12 02:42:18
178,Alex Bolt,3319.0,ATP,down,Australia,339,2026-02-12 02:42:18
179,Vitaliy Sachko,1899.0,ATP,down,Ukraine,336,2026-02-12 02:42:18
180,Alex Barrena,1324.0,ATP,same,Argentina,336,2026-02-12 02:42:18
181,Jack Pinnington Jones,1858.0,ATP,up,United Kingdom,331,2026-02-12 02:42:18
182,Pablo Ficovich Juan,420.0,ATP,up,Argentina,331,2026-02-12 02:42:18
183,Jay Clarke,1739.0,ATP,down,United Kingdom,329,2026-02-12 02:42:18
184,Roman Safiullin,1057.0,ATP,down,World,328,2026-02-12 02:42:18
185,Elias Ymer,1082.0,ATP,up,Sweden,327,2026-02-12 02:42:18
186,Lloyd Harris,2834.0,ATP,up,South Africa,324,2026-02-12 02:42:18
187,Elahi Galan Daniel,1735.0,ATP,down,Colombia,323,2026-02-12 02:42:18
188,Hugo Grenier,1073.0,ATP,down,France,323,2026-02-12 02:42:18
189,Zdenek Kolar,384.0,ATP,up,Czech Republic,316,2026-02-12 02:42:18
190,Daniel Evans,2835.0,ATP,down,United Kingdom,314,2026-02-12 02:42:18
191,Timofey Skatov,362.0,ATP,up,Kazakhstan,314,2026-02-12 02:42:18
