results_for_player_key,event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_qualification,event_first_player_logo,event_second_player_logo,download_time
,12100064,2026-02-02,10:00,S. Kopp,848,P. O. Fellin,8649,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/848_s-kopp.jpg,,2026-02-01 15:47:17
,12100065,2026-02-02,10:00,L. Lokoli,1076,C. A. Caniato,24283,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/1076_l-lokoli.jpg,https://api.api-tennis.com/logo-tennis/24283_c-a-caniato.jpg,2026-02-01 15:47:17
,12100066,2026-02-02,10:00,A. Martinez,7101,F. Romano,39002,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/7101_a-martinez.jpg,https://api.api-tennis.com/logo-tennis/39002_f-romano.jpg,2026-02-01 15:47:17
,12100067,2026-02-02,10:00,O. Prihodko,8733,F. Bondioli,37892,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/8733_o-prihodko.jpg,https://api.api-tennis.com/logo-tennis/37892_f-bondioli.jpg,2026-02-01 15:47:17
,12100068,2026-02-02,10:00,A. Barroso Campos,1266,P. Kotov,415,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1266_a-barroso-campos.jpg,https://api.api-tennis.com/logo-tennis/415_p-kotov.jpg,2026-02-01 15:47:17
,12100069,2026-02-02,10:00,F. Broska,15199,J. Monday,10071,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/15199_f-broska.jpg,https://api.api-tennis.com/logo-tennis/10071_j-monday.jpg,2026-02-01 15:47:17
,12100070,2026-02-02,10:00,M. Geerts,587,Ch. Negritu,5971,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/587_m-geerts.jpg,https://api.api-tennis.com/logo-tennis/5971_ch-negritu.jpg,2026-02-01 15:47:17
,12100071,2026-02-02,10:00,T. Gentzsch,2501,D. Dedura,55858,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2501_t-gentzsch.jpg,https://api.api-tennis.com/logo-tennis/55858_d-dedura-palomero.jpg,2026-02-01 15:47:17
,12100072,2026-02-02,10:00,Z. Kolar,384,C. Sanchez Jover,584,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/384_z-kolar.jpg,https://api.api-tennis.com/logo-tennis/584_c-sanchez-jover.jpg,2026-02-01 15:47:17
,12100073,2026-02-02,10:00,M. Malige,53274,T. Colson,961,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/53274_m-malige.jpg,https://api.api-tennis.com/logo-tennis/961_t-colson.jpg,2026-02-01 15:47:17
,12100074,2026-02-02,10:00,D. Masur,411,D. Added,1854,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/411_d-masur.jpg,https://api.api-tennis.com/logo-tennis/1854_d-added.jpg,2026-02-01 15:47:17
,12100075,2026-02-02,10:00,R. Molleker,893,M. Moeller,7349,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/893_r-molleker.jpg,https://api.api-tennis.com/logo-tennis/7349_m-moeller.jpg,2026-02-01 15:47:17
,12100076,2026-02-02,10:00,M. Rosenkranz,1850,P. Zahraj,5791,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1850_m-rosenkranz.jpg,https://api.api-tennis.com/logo-tennis/5791_p-zahraj.jpg,2026-02-01 15:47:17
,12100077,2026-02-02,10:00,V. Ursu,7269,J. Forejtek,2086,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/7269_v-ursu.jpg,https://api.api-tennis.com/logo-tennis/2086_j-forejtek.jpg,2026-02-01 15:47:17
,12100078,2026-02-02,10:00,M. Wiskandt,9110,N. McDonald,73846,-,-,,,1,Challenger Men Singles,Koblenz,2701,Koblenz - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/9110_m-wiskandt.jpg,,2026-02-01 15:47:17
,12100079,2026-02-02,11:00,J. Berrettini,6984,A. Shelbayh,9219,-,-,,,1,Challenger Men Singles,Tenerife,2882,Tenerife - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/6984_j-berrettini.jpg,https://api.api-tennis.com/logo-tennis/9219_a-shelbayh.jpg,2026-02-01 15:47:17
,12100080,2026-02-02,11:00,H. S. Callejon,50705,P. Martin Tiffon,1338,-,-,,,1,Challenger Men Singles,Tenerife,2882,Tenerife - 1/16-finals,2025,0,False,,https://api.api-tennis.com/logo-tennis/1338_p-martin-tiffon.jpg,2026-02-01 15:47:17
,12100081,2026-02-02,11:00,S. Fomin,570,S. Travaglia,2672,-,-,,,1,Challenger Men Singles,Tenerife,2882,Tenerife - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/570_s-fomin.jpg,https://api.api-tennis.com/logo-tennis/2672_s-travaglia.jpg,2026-02-01 15:47:17
,12100082,2026-02-02,11:00,M. Huesler,1746,D. Rincon,657,-,-,,,1,Challenger Men Singles,Tenerife,2882,Tenerife - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1746_m-huesler.jpg,https://api.api-tennis.com/logo-tennis/657_d-rincon.jpg,2026-02-01 15:47:17
,12100083,2026-02-02,11:00,A. Kachmazov,1197,G. Piraino,1245,-,-,,,1,Challenger Men Singles,Tenerife,2882,Tenerife - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1197_a-kachmazov.jpg,https://api.api-tennis.com/logo-tennis/1245_g-piraino.jpg,2026-02-01 15:47:17
,12100084,2026-02-02,11:00,F. Maestrelli,1180,M. Erhard,668,-,-,,,1,Challenger Men Singles,Tenerife,2882,Tenerife - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1180_f-maestrelli.jpg,https://api.api-tennis.com/logo-tennis/668_m-erhard.jpg,2026-02-01 15:47:17
,12100085,2026-02-02,11:00,M. Mmoh,439,M. Kukushkin,2970,-,-,,,1,Challenger Men Singles,Tenerife,2882,Tenerife - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/439_m-mmoh.jpg,https://api.api-tennis.com/logo-tennis/2970_m-kukushkin.jpg,2026-02-01 15:47:17
