event_key,event_date,set_number,number_game,player_served,serve_winner,serve_lost,game_score,number_point,point_score,break_point,set_point,match_point,download_time
12006834,2025-01-12,Set 3,5,First Player,First Player,,3 - 2,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,5,First Player,First Player,,3 - 2,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,5,First Player,First Player,,3 - 2,3,40 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,5,First Player,First Player,,3 - 2,4,40 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,6,Second Player,Second Player,,3 - 3,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,6,Second Player,Second Player,,3 - 3,2,0 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,6,Second Player,Second Player,,3 - 3,3,0 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,7,First Player,First Player,,4 - 3,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,7,First Player,First Player,,4 - 3,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,7,First Player,First Player,,4 - 3,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,7,First Player,First Player,,4 - 3,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,7,First Player,First Player,,4 - 3,5,40 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,5,40 - 30,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,6,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,7,A - 40,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,8,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,9,40 - A,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,10,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,11,40 - A,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,12,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,8,Second Player,Second Player,,4 - 4,13,40 - A,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,9,First Player,First Player,,5 - 4,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,9,First Player,First Player,,5 - 4,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,9,First Player,First Player,,5 - 4,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,9,First Player,First Player,,5 - 4,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,9,First Player,First Player,,5 - 4,5,40 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,10,Second Player,Second Player,,5 - 5,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,10,Second Player,Second Player,,5 - 5,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,10,Second Player,Second Player,,5 - 5,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,10,Second Player,Second Player,,5 - 5,4,15 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,11,First Player,First Player,,6 - 5,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,11,First Player,First Player,,6 - 5,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,11,First Player,First Player,,6 - 5,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,11,First Player,First Player,,6 - 5,4,40 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,12,Second Player,First Player,Second Player,7 - 5,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,12,Second Player,First Player,Second Player,7 - 5,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,12,Second Player,First Player,Second Player,7 - 5,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,12,Second Player,First Player,Second Player,7 - 5,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,12,Second Player,First Player,Second Player,7 - 5,5,40 - 30,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,1,First Player,Second Player,First Player,0 - 1,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,1,First Player,Second Player,First Player,0 - 1,2,0 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,1,First Player,Second Player,First Player,0 - 1,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,1,First Player,Second Player,First Player,0 - 1,4,15 - 40,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,1,First Player,Second Player,First Player,0 - 1,5,30 - 40,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,2,Second Player,Second Player,,0 - 2,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,2,Second Player,Second Player,,0 - 2,2,0 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,2,Second Player,Second Player,,0 - 2,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,2,Second Player,Second Player,,0 - 2,4,15 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,3,First Player,First Player,,1 - 2,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,3,First Player,First Player,,1 - 2,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,3,First Player,First Player,,1 - 2,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,3,First Player,First Player,,1 - 2,4,40 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,3,First Player,First Player,,1 - 2,5,40 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,3,First Player,First Player,,1 - 2,6,40 - 40,,,,2026-01-11 16:03:58
